timestamp,nama,lokasi,tingkat_keramaian,foto
2026-06-05 10:40:29,,Gedung C FPIK,Sedang,
2026-06-05 10:41:04,,Kantin FPIK,Ramai,
2026-06-05 10:42:41,,Gedung Teknik Geodesi,Sedang,
2026-06-05 10:54:25,,Gedung Pertamina Teknik Geologi,Ramai,
2026-06-05 10:55:03,,Gedung Fakultas Kesehatan Masyarakat,Ramai,
2026-06-05 10:57:00,,Gedung Fakultas Kesehatan Masyarakat,Ramai,
2026-06-05 11:05:45,,Gedung A Fakultas Kedokteran,Ramai,
2026-06-05 11:46:23,nadin,Gedung Teknik Kimia,Sedang,uploads/foto_20260605_114623.jpeg
2026-06-05 11:50:01,alin,Gedung Teknik Industri,Ramai,uploads/foto_20260605_115001.jpeg
2026-06-05 14:04:15,niel,Gedung Fakultas Peternakan dan Pertanian,Ramai,uploads/foto_20260605_140415.jpeg
